name,rating,date,text
santoso Kasan,5,2 bulan lalu,Mantap untuk menambah wawasan
Gembong,5,3 bulan lalu,Kerenn perlu di kelola lebih baik.. Potensi sekali buat wisata dan edukasi
EW Official,5,3 bulan lalu,"Situs geopark tiada duanya. Ada banyak tambang sumur sekitar 700an. Ada museum geoheritage, jajanan khas berupa nasi gulung. Cobalah.."
Adi Nugroho,4,4 bulan lalu,"Bagus,sesuatu yang baru bagi yang belum pernah datang ke sumur minyak,layak dikunjungi"
MYS Kingdom,4,5 bulan lalu,"Wisata yang beda banget, pemandangan di sekitar jalan ke tempat ini juga indah banget.... …"
Zakia Azzahra,5,5 bulan lalu,Ternyata sebanyak itu ya sumurnya. Dan pekerja di sana ramah ramah meski kita banyak nanya padahal mereka posisi sambil kerja.
Teacher May Ezane,5,9 bulan lalu,Not only oil rig but I'm here
Vio La,5,setahun lalu,Cocok untuk praktik mahasiswa dan anak sekolah. Untuk jadi pengetahuan siswa Bagaimana proses terbentuknya minyak
dwia prass,5,setahun lalu,Namanya seperti negara bagian Texas yg banyak koboy di Amerika yg kaya sumber minyak. …
Mujiono Pamungkas,3,setahun lalu,"Bener-bener texas yang ada di Jawa disini, tempatnya seperti tempat yang bebas..."
Kelvin Rohman,3,setahun lalu,sukes
Arya D Candra,5,setahun lalu,"Geowisata Teksas Wonocolo.
One of the geoheritages in Bojonegoro. Tourists can enjoy the scenery of traditional oil mining. Highly appropriate for oil industry-related educational …"
Tommy Suryaputra,4,setahun lalu,Interesting layout and the view is very old and traditional oil pumps. Place may look dirty and oily due to the oil spills and unmanaged oil spills.
Ujang Krisno,4,setahun lalu,Bagus
Reza Tirtahardi,5,setahun lalu,"wisata sejarah oil n gas, peninggalan Belanda. sangat bagus untuk menambah wawasan bagi umum dan pelajar."
Alitcad Wahyudi,4,2 tahun lalu,Good
Hert,5,2 tahun lalu,Muashookkk. Bagus buat wisata edukasi bocil2
